Strain,Phenotype,Parent,Basidium
A01,N,A1,1.0
A02,Y,A1,1.0
A03,N,A1,1.0
A04,L,A1,1.0
A05,N (with rare spots of T),A1,2.0
A06,L,A1,2.0
A07,Y,A1,2.0
A08,N,A1,2.0
A09,T,A1,3.0
A10,N,A1,3.0
A11,N,A1,3.0
A12,Y,A1,3.0
A13,Y,A1,4.0
A14,N,A1,4.0
A15,Y,B1,1.0
A16,N,B1,1.0
A17,L,B1,1.0
A18,N,B1,1.0
A19,N,B1,2.0
A20,Y,B1,2.0
A21,N,B1,3.0
A22,L,B1,3.0
A23,N,B1,3.0
A24,Y,B1,4.0
A25,N,B1,4.0
A26,L,B1,4.0
A27,T,B1,4.0
A28,N,B1,4.0
A29,Y,B7,1.0
A30,N,B7,1.0
A31,N,B7,1.0
A32,L,B7,1.0
A33,N,B7,2.0
A34,N,B7,2.0
A35,Y,B7,2.0
A36,Y,B7,3.0
A37,T,B7,3.0
A38,L,B7,3.0
A39,N,B7,3.0
A40,N,B7,3.0
A41,N,B7,4.0
A42,L,B7,4.0
A43,T,B7,4.0
A44,Y,B7,4.0
B01,Y,A1,
B02,N,A1,
B03,N,A1,
B04,L,A1,
B05,N (with rare spots of T),A1,
B06,L,A1,
B07,T,A1,
B08,N,A1,
B09,N,A1,
B10,N,A1,
B11,T,A1,
B12,N,B1,
B20,Y,B1,
NIH12,N,,
NIH433,N,,
I641,N,,
I643,N,,
I645,N,,
B_13,N,,
B_14,N,,
B_15,N,,
B_16,L,,
B_17,T,,
B_18,L,,
B_19,N,,
B_21,N,,
B_22,L,,
B_23,L,,
B_24,N,,
B_25,L,,
B_26,N (with rare spots of T),,
B_27,L,,
B_28,L,,
B_29,L,,
B_30,N,,
B_31,L,,
B_32,N (with rare spots of T),,
B_33,L,,
B3502_A1,Y,,
B3502_B1,N,,
B3502_B7,Y,,
CF830,N,,
